issue_year,n,avg_spread_pct,avg_expected_loss_pct,median_spread_pct
2014,7,5.4071428571428575,1.9257142857142857,5.0
2015,4,3.75625,1.2075,3.5
2016,9,5.875,2.8422222222222224,5.0
2017,19,7.2631578947368425,3.8010526315789472,6.5
2018,9,4.116666666666666,1.5437777777777777,2.875
2019,3,10.083333333333334,3.986666666666667,11.25
2020,6,8.416666666666666,2.7091666666666665,8.25
2021,2,11.125,4.895,11.125
2022,4,9.125,2.97,8.625
2023,9,10.816666666666666,2.602222222222222,12.25
2024,7,8.321428571428571,1.8414285714285714,7.0
2025,32,7.69140625,2.825040625,7.4375
2026,42,6.663690476190476,3.044714285714286,5.75
