iter	RMSE
0	3.454984907
1	3.410052497
2	3.366133886
3	3.322432911
4	3.306650557
5	3.272538118
6	3.234902292
7	3.194086116
8	3.156219215
9	3.122993822
10	3.089677653
11	3.060454757
12	3.021944432
13	2.988831835
14	2.961840501
15	2.927389392
16	2.889537445
17	2.869324934
18	2.83615892
19	2.80407031
20	2.785607328
21	2.763972154
22	2.73620559
23	2.710539955
24	2.690147676
25	2.665426015
26	2.643163798
27	2.612934903
28	2.604232229
29	2.579380996
30	2.557957568
31	2.552627446
32	2.529489239
33	2.509795484
34	2.491934458
35	2.473098994
36	2.445124199
37	2.436823722
38	2.420051945
39	2.394459876
40	2.391671247
41	2.375563591
42	2.355941826
43	2.342971283
44	2.324022536
45	2.304425813
46	2.303018112
47	2.291744425
48	2.289760206
49	2.271258507
50	2.26585475
51	2.260450789
52	2.247381195
53	2.225144008
54	2.208455318
55	2.197236638
56	2.195792016
57	2.178582532
58	2.164590794
59	2.145732936
60	2.12758389
61	2.11213659
62	2.102781311
63	2.088493666
64	2.078957333
65	2.065982845
66	2.053276982
67	2.046751068
68	2.036418068
69	2.024765153
70	2.012478934
71	2.004016127
72	1.994422512
73	1.993036677
74	1.981507403
75	1.973586818
76	1.966964988
77	1.960601542
778	2.065370945
79	2.060275069
80	2.052482615
81	2.047130283
82	2.039495136
83	2.035547643
84	2.029330055
85	2.021297552
86	2.019062454
87	2.015161611
88	2.012626275
89	2.008324987
90	1.997909109
91	1.988471232
92	1.986522336
93	1.980646473
94	1.974027499
95	1.966115918
96	1.96151733
97	1.949667411
98	1.945697761
99	1.937767866
100	1.933044682
101	1.926653617
102	1.923496091
103	1.922015405
104	1.91852406
105	1.909294466
106	1.901149136
107	1.896028085
108	1.891839094
109	1.890624419
110	1.887869729
111	1.881478186
112	1.875874753
113	1.873015633
114	1.866799924
115	1.861980611
116	1.854074253
117	1.852026607
118	1.843510954
119	1.837259768
120	1.832883647
121	1.824153214
122	1.818612941
123	1.815537367
124	1.811138282
125	1.807419502
126	1.801297025
127	1.79417543
128	1.788790728
129	1.785101264
130	1.783047767
131	1.776276454
132	1.7747493
133	1.772462045
134	1.767976979
135	1.767154265
136	1.76048975
137	1.758442708
138	1.75627381
139	1.751281352
140	1.747183687
141	1.741973527
142	1.738471634
143	1.737247966
144	1.732039631
145	1.727452239
146	1.723524897
147	1.718760827
148	1.715559411
149	1.710799799
150	1.704367223
151	1.700819645
152	1.696682951
153	1.690906336
154	1.686960211
155	1.681317586
156	1.679514204
157	1.67845473
158	1.673363016
159	1.671467873
160	1.666954288
161	1.660075498
162	1.65481888
163	1.653888286
164	1.649798144
165	1.648421116
166	1.64744916
167	1.644719366
168	1.640942907
169	1.638398801
170	1.63255784
171	1.631767589
172	1.625881947
173	1.619430741
174	1.618713079
175	1.613018941
176	1.60848837
177	1.604030318
178	1.597747606
179	1.592937199
180	1.59059358
181	1.590059906
182	1.589231547
183	1.588549354
184	1.587913784
185	1.580970498
186	1.580068172
187	1.579465778
188	1.57485292
189	1.573743138
190	1.572936432
191	1.572223067
192	1.571631191
193	1.570897048
194	1.569460487
195	1.568995368
196	1.568258203
197	1.567582066
198	1.566833937
199	1.566252538
