iter	Passed	Remaining
0	0	54
1	0	209
2	1	21733	1	1764	1	146
5	1	132
6	1	121
7	1	113
8	1	107
9	1	101
10	2	97
11	2	93
12	2	92
13	2	89
14	2	87
15	2	85
16	2	83
17	2	80
18	2	77
19	2	74
20	2	72
21	2	70
22	2	67
23	3	65
24	3	64
25	3	62
26	3	60
27	3	59
28	3	57
29	3	56
30	3	55
31	3	54
32	3	53
33	3	52
34	3	51
35	3	50
36	3	49
37	3	49
38	3	48
39	3	47
40	3	46
41	3	46
42	3	45
43	3	44
44	3	44
45	4	43
46	4	43
47	4	42
48	4	42
49	4	41
50	4	41
51	4	40
52	4	40
53	4	39
54	4	39
55	4	38
56	4	38
57	4	38
58	4	37
59	4	37
60	4	37
61	4	36
62	4	36
63	4	36
64	4	35
65	4	35
66	4	35
67	4	34
68	4	34
69	5	34
70	5	34
71	5	33
72	5	33
73	5	33
74	5	33
75	5	32
76	5	32
77	5	32
78	5	32
79	5	31
80	5	31
81	5	31
82	5	31
83	5	30
84	5	30
85	5	30
86	5	30
87	5	30
88	5	29
89	5	29
90	5	29
92	9	45
93	9	45
94	9	45
95	9	45
96	9	45
97	12	56
98	12	56
99	12	55
100	12	55
101	12	54
102	12	54
103	12	53
104	12	53
105	12	53
106	13	54
107	13	54
108	13	53
109	13	53
110	13	52
111	13	52
112	13	52
113	13	51
114	13	51
115	13	50
116	13	50
117	13	50
118	13	49
119	13	49
120	13	48
121	13	48
122	14	48
123	14	47
124	14	47
125	14	47
126	14	46
127	14	46
128	14	46
129	14	45
130	14	45
131	14	45
132	14	44
133	14	44
134	14	44
135	14	43
136	14	43
137	14	43
138	14	43
139	14	42
140	14	42
141	14	42
142	14	41
143	14	41
144	14	41
145	15	41
146	15	40
147	15	40
148	15	40
149	15	40
150	15	39
151	15	39
152	15	39
153	15	39
154	15	38
155	15	38
156	15	38
157	15	38
158	15	37
159	15	37
160	15	37
161	15	37
162	15	37
163	15	36
164	15	36
165	15	36
166	15	36
167	16	36
168	16	35
169	16	35
170	16	35
171	16	35
172	16	35
173	16	34
174	16	34
175	16	34
176	16	34
177	16	34
178	16	33
179	16	33
180	16	33
181	16	33
182	16	33
183	16	32
184	16	32
185	16	32
186	16	32
187	17	32
188	17	32
189	17	32
190	17	32
191	17	32
192	17	32
193	17	32
194	17	31
195	17	31
196	17	31
197	17	31
198	18	31
199	18	31
200	18	31
201	18	31
202	18	31
203	18	30
204	18	30
205	18	30
206	18	30
207	18	30
208	18	30
209	19	30
210	19	30
211	19	30
212	19	30
213	19	30
214	19	30
215	19	30
216	19	30
217	19	29
218	20	29
219	20	29
220	20	29
221	20	29
222	20	29
223	20	29
224	20	29
225	20	29
226	20	29
227	20	29
228	20	29
229	21	28
230	21	28
231	21	28
232	21	28
233	21	28
234	21	28
235	21	28
236	21	27
237	21	27
238	21	27
239	21	27
240	21	27
241	21	27
242	21	27
243	21	26
244	21	26
245	21	26
246	21	26
247	21	26
248	21	26
249	22	26
250	22	25
251	22	25
252	22	25
253	22	25
254	22	25
255	22	25
256	22	25
257	22	25
258	22	24
259	22	24
260	22	24
261	22	24
262	22	24
263	22	24
264	22	24
265	22	24
266	22	23
267	22	23
268	22	23
269	23	23
270	23	23
271	23	23
272	23	23
273	23	23
274	23	22
275	23	22
276	23	22
277	23	22
278	23	22
279	23	22
280	23	22
281	23	22
282	23	22
283	23	21
284	23	21
285	23	21
286	24	21
287	24	21
288	24	21
289	24	21
290	24	21
291	24	21
292	24	21
293	24	21
294	25	21
295	25	21
296	25	21
297	25	21
298	25	21
299	25	20
300	25	20
301	25	20
302	25	20
303	26	20
304	26	20
305	26	20
306	26	20
307	26	20
308	26	20
309	26	20
310	26	20
311	26	20
312	27	20
313	27	20
314	27	20
315	27	20
316	27	19
317	27	19
318	27	19
319	28	19
320	28	19
321	28	19
322	28	19
323	28	19
324	28	19
325	28	19
326	28	19
327	28	19
328	29	19
329	29	19
330	29	19
331	29	18
332	29	18
333	29	18
334	29	18
335	29	18
336	29	18
337	29	18
338	30	18
339	30	18
340	30	18
341	30	18
342	30	18
343	30	18
344	30	17
345	30	17
346	31	17
347	31	17
348	31	17
349	31	17
350	31	17
351	31	17
352	31	17
353	31	17
354	31	17
355	31	17
356	32	16
357	32	16
358	32	16
359	32	16
360	32	16
361	32	16
362	32	16
363	32	16
364	32	16
365	32	16
366	32	15
367	32	15
368	32	15
369	32	15
370	32	15
371	32	15
372	32	15
373	32	15
374	32	15
